Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,Iraqi,Population,7527,9694,11355,13008,12747,10025,8639,6919,4771,4182,3852,3680,3628,3449,3528,4307,5041,5530,6083,6309,5850,5634,7136,7594,7823,7835,7309,7027,6912
Asia,Iranian,Population,9736,10150,8634,7831,6196,3892,2833,2520,2513,2589,2685,2664,2695,2821,3045,3330,3564,3969,4531,4374,4415,4675,5886,6695,7824,10314,10701,11701,13569
Asia,Israeli,Population,1501,1422,1186,1247,1222,1251,1253,1332,1551,1707,1790,1714,1597,1498,1511,1474,1405,1385,1343,1318,1342,1465,1471,1537,1625,1805,1716,1790,2008
Asia,Japanese,Population,5299,5347,5336,5369,5460,5507,5626,5771,5747,5813,5811,5801,5736,5673,5782,5407,5318,5322,5322,5192,5255,5461,5877,6056,6239,6694,6458,6779,7318
Asia,Yemeni,Population,21,33,46,51,70,71,71,72,74,70,75,73,71,73,75,82,94,110,129,125,151,192,244,430,741,1597,2509,3696,5451
Asia,Jordanian,Population,320,304,210,209,225,229,223,235,226,245,248,239,222,220,223,212,207,211,212,200,213,267,325,405,507,628,693,772,870
Asia,Kuwaiti,Population,33,38,37,62,53,58,61,50,40,33,28,30,27,18,16,17,18,25,33,64,97,88,68,74,70,76,64,66,54
Asia,Lao,Population,3,3,3,8,8,7,10,13,20,25,26,28,27,26,26,32,34,35,38,37,37,34,37,38,38,40,39,39,43
Asia,Lebanese,Population,985,816,493,410,387,338,354,355,363,341,343,344,349,365,377,372,376,382,393,442,416,449,537,638,728,929,1087,1325,1664
Asia,Maldivian,Population,1,2,2,3,3,3,5,6,7,8,7,6,8,5,7,8,6,6,5,5,6,7,14,15,16,17,14,21,21
Asia,Malaysian,Population,1086,1034,1003,997,1022,1066,1065,1110,1173,1243,1215,1224,1372,1449,1483,1512,1444,1418,1477,1515,1499,1542,1576,1587,1621,1691,1666,1718,1881
Asia,Mongolian,Population,15,12,23,26,34,30,53,73,80,93,95,85,92,99,110,117,119,112,117,126,119,168,206,211,208,233,233,228,241
Asia,Myanmarese,Population,47,62,68,59,47,40,34,45,50,51,45,39,36,39,43,67,146,198,210,256,284,297,289,310,322,357,323,364,361
Asia,Nepalese,Population,102,126,154,178,201,214,238,212,239,317,353,605,602,573,624,745,776,755,721,744,828,838,895,919,916,902,844,850,944
Asia,North Korean,Population,5,5,8,6,7,6,9,10,12,10,10,9,7,6,6,5,5,16,14,15,36,23,24,23,26,24,23,21,23
Asia,Omani,Population,23,24,42,55,84,74,60,51,59,61,77,90,85,77,70,37,34,42,79,139,172,196,204,221,226,218,216,220,215
Asia,Pakistani,Population,4015,3724,3219,3199,2967,2882,2880,2737,2605,2541,2514,2769,3042,3135,3094,3113,3077,3080,2921,3001,2905,3052,3279,3656,4103,4723,4773,5420,6540
Asia,Qatari,Population,0,0,1,1,0,0,0,0,0,0,0,2,2,0,2,1,3,5,7,13,16,30,20,9,9,14,6,8,7
Asia,Saudi Arabian,Population,37,53,75,54,41,35,46,64,79,80,106,93,102,185,239,376,547,554,549,579,572,596,669,669,617,657,565,554,612
Asia,Singaporean,Population,839,794,704,681,662,725,683,722,771,801,798,827,834,830,875,902,936,974,1067,1095,1156,1230,1324,1403,1420,1378,1153,1129,1389
Asia,Sri Lankan,Population,3175,3186,2639,2395,1924,1549,1531,1591,1604,1624,1614,1535,1474,1400,1404,1416,1398,1368,1355,1378,1413,1400,1399,1362,1409,1440,1312,1357,1610
Asia,Syrian,Population,2126,2031,1096,857,659,543,560,628,670,685,697,705,642,582,579,573,584,641,846,1367,8173,25443,51424,67525,74084,79451,71201,57043,60112
Asia,Taiwanese,Population,516,499,533,571,696,715,732,808,960,1043,1119,1220,1228,1277,1356,1372,1427,1485,1407,1418,1532,1648,1880,2029,2298,2668,2435,2588,2990
Asia,Thai,Population,1930,1985,2017,2162,2385,2520,2920,3288,3783,4366,4884,5274,5504,5622,5904,5986,6017,5887,5642,5512,5223,5026,4947,4971,4999,5163,4805,4868,4921
Asia,Citizen of Timor Leste,Population,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,5,7,10
Asia,Citizen United Arab Emirates,Population,5,5,228,340,114,47,40,34,29,8,11,12,5,5,6,5,4,5,7,12,16,7,6,9,15,17,18,27,24
Asia,Vietnamese,Population,4317,3765,2637,2032,1697,1546,1613,1885,2274,2496,2674,2698,2623,2453,2464,2476,2430,2460,2393,2355,2301,2398,2652,3033,3460,3944,3734,3901,4148
Asia,South Korean,Population,720,722,829,910,964,1079,1193,1280,1421,1477,1578,1642,1775,1865,2022,2085,2256,2482,2533,2597,2825,3017,3419,3783,4071,4453,3881,4108,4652
Europe,Dutch,Population,14666984,14768468,14887238,14976115,15097853,15212418,15319273,15414892,15492618,15555847,15606175,15642853,15676060,15717024,15766293,15839792,15895431,15944300,15983340,16013258,16053457,16078616,16109209,16140279,16171304,16215228,16272450,16334426,16365940
Europe,Albanian,Population,413,490,452,445,449,345,330,358,380,389,409,401,384,372,411,492,502,512,548,571,676,795,974,1084,1247,1488,1577,1698,1897
Europe,Andorran,Population,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,3,3,4,4,4,4,3,5,8,5,5,6,7,10
Europe,Armenian,Population,395,633,661,699,622,387,357,364,374,395,416,416,424,432,512,632,705,779,894,968,1038,1079,1136,1175,1232,1357,1351,1327,1439
Europe,Azerbaijani,Population,34,108,131,154,178,181,180,223,243,287,278,272,279,258,267,279,315,346,391,431,499,553,623,706,788,985,1035,1231,1560
Europe,Belarusian,Population,65,102,153,217,304,363,434,532,646,763,817,802,779,776,761,761,786,817,822,836,898,973,1061,1135,1264,1449,1529,1814,2225
Europe,Belgian,Population,24135,24111,24021,24443,24826,25382,25860,26148,26306,26223,26105,25994,25999,26210,26591,26877,27184,27601,28209,28810,29629,30560,31887,33186,34447,35868,37034,38156,39023
Europe,Citizen of Bosnia and Herzegovina,Population,10115,14436,15974,14616,11165,6146,3745,3006,2777,2683,2540,2427,2358,2250,2234,2441,2316,2351,2374,2235,2170,2119,2122,2114,2165,2208,2099,2037,2022
Europe,British,Population,43008,41146,39300,39153,38829,39466,41404,43604,44052,43678,42519,41508,40335,40192,41060,41422,41373,41423,41650,42309,43004,44224,45286,46013,47291,47930,48802,47086,45929
Europe,Bulgarian,Population,584,550,469,538,626,713,870,1074,1360,1678,1924,2076,2202,6378,10190,12340,14110,16760,17615,17846,19843,21941,24106,27280,31208,36834,41793,47699,54918
Europe,Cypriot,Population,43,43,41,45,47,44,48,51,55,49,65,81,100,119,134,162,187,242,285,319,356,421,519,676,843,1040,1128,1515,1938
Europe,Danish,Population,1957,1945,2072,2163,2285,2440,2588,2663,2629,2689,2698,2644,2697,2662,2705,2646,2689,2746,2801,2832,2960,2987,3149,3290,3370,3502,3431,3577,3568
Europe,Citizen of the Federal Republic of Germany,Population,53363,53922,53525,53914,54113,54272,54811,55572,56060,56466,57141,58503,60201,62387,65927,68356,71351,72815,72627,72240,71751,72283,73277,75037,77092,79470,80586,82932,84388
Europe,Estonian,Population,61,65,86,99,100,111,121,147,165,187,284,318,321,365,444,547,710,852,876,971,1065,1095,1159,1279,1383,1549,1563,1700,1909
Europe,Finnish,Population,1194,1286,1385,1506,1712,1849,1980,2051,2118,2089,2088,2087,1982,2030,2157,2197,2290,2406,2453,2481,2562,2798,3098,3369,3636,3939,3752,3984,4291
Europe,French,Population,10547,10532,10575,11152,11873,12524,13326,14113,14469,14529,14544,14730,14697,15119,16441,17184,17797,18138,18315,18734,19744,20913,22588,24180,25759,27811,29037,31469,33690
Europe,Georgian,Population,212,452,566,601,657,505,379,343,344,377,390,367,349,366,389,438,478,512,551,556,543,544,597,646,721,811,785,875,1041
Europe,Greek,Population,5627,5410,5176,5266,5291,5481,5692,6015,6244,6341,6367,6518,6627,6853,7383,7781,8584,10100,11760,12697,13164,14058,15257,16974,18863,21476,22603,25138,28602
Europe,Hungarian,Population,1135,1133,1164,1272,1404,1385,1538,1719,1832,1886,2029,2271,2386,2921,4044,5294,6546,7775,9245,10280,11223,12256,13123,14107,15478,16833,17537,18961,20606
Europe,Irish,Population,4183,4036,3937,3974,3755,3842,3990,4149,4192,4214,4096,4052,3903,3900,3975,4186,4346,4638,4665,4799,5064,5338,5722,6198,6873,7823,8250,9254,10241
Europe,Icelandic,Population,257,261,274,325,344,372,380,405,449,444,446,393,373,394,415,427,435,431,409,384,419,466,498,512,548,583,568,548,613
Europe,Italian,Population,17461,17405,17286,17408,17580,17886,18248,18599,18730,18503,18377,18502,18627,19027,20271,21097,21867,22588,23560,25003,27147,29492,32255,35460,39065,43277,45136,49128,53449
Europe,Yugoslavian,Population,17982,16868,14519,11523,8889,7173,6822,6645,6425,6277,5845,5306,4700,4275,3834,1720,1029,658,444,250,148,121,96,83,52,42,37,34,36
Europe,Kazakh,Population,19,29,59,97,108,140,178,219,268,301,314,295,298,275,292,320,374,407,417,406,447,483,536,611,723,901,913,1099,1263
Europe,Kyrgyz,Population,5,1,2,7,11,14,16,27,39,48,72,80,85,90,86,82,80,90,96,108,101,111,99,109,116,147,131,174,246
Europe,Kosovar,Population,,,,,,,,,,,,,,,13,177,321,451,880,684,604,599,643,639,687,685,658,693,670
Europe,Croatian,Population,1480,1718,1766,1685,1639,1602,1582,1632,1650,1679,1595,1505,1480,1444,1421,1464,1498,1500,1528,1765,2017,2220,2414,2638,3024,3811,4426,5292,6199
Europe,Lets,Population,49,63,88,112,140,146,173,188,244,283,361,450,491,564,713,1143,1909,2560,3073,3287,3552,3759,4021,4547,5215,6057,6687,7595,8305
Europe,Liechtenstein,Population,2,4,4,4,5,5,5,4,4,4,4,5,6,6,8,11,11,10,5,6,6,4,7,7,5,11,8,11,9
Europe,Lithuanian,Population,78,127,185,260,328,338,346,393,487,595,970,1175,1262,1447,1743,2126,2871,3701,4183,4572,4885,5301,5836,6680,7706,8785,9282,10119,10840
Europe,Luxembourgish,Population,280,284,295,307,306,308,312,307,297,302,297,293,295,310,326,333,352,373,387,399,427,487,586,703,833,985,1136,1249,1340
Europe,Macedonian,Population,265,381,449,482,507,500,590,646,677,711,762,762,710,711,717,764,775,843,856,856,897,934,1019,1064,1162,,,,
Europe,Citizen of Republic of North Macedonia,Population,,,,,,,,,,,,,,,,,,,,,,,,,,1127,1277,1354,1456
Europe,Maltese,Population,94,90,92,88,93,91,98,98,99,102,121,111,120,131,155,157,177,185,193,207,209,216,248,286,331,381,415,476,575
Europe,Moldavian,Population,34,47,62,72,88,130,149,165,193,235,264,273,278,280,318,312,318,327,337,335,345,350,379,432,518,623,672,805,1071
Europe,Monegasque,Population,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,5,4,3,4,4,4,2,2,2,2,4,4
Europe,Montenegrin,Population,,,,,,,,,,,,,0,10,21,79,138,209,293,323,330,331,353,364,391,391,374,373,368
Europe,Norwegian,Population,1459,1512,1573,1721,1763,1880,2016,2134,2132,2132,2118,2054,1952,1893,1920,1980,2066,2130,2066,2115,2140,2132,2253,2382,2454,2579,2547,2657,2773
Europe,Ukrainian,Population,423,701,945,1189,1378,1431,1595,1837,2158,2414,2605,2545,2507,2451,2517,2521,2671,2911,3087,3402,3783,4437,5071,5583,6268,7042,7082,7540,94364
Europe,Uzbek,Population,29,36,43,54,65,51,63,87,96,118,123,142,166,163,164,186,187,202,203,191,209,226,231,237,266,305,306,338,494
Europe,Austrian,Population,2992,2999,3035,3125,3268,3330,3366,3454,3543,3593,3558,3540,3604,3629,3752,3784,3888,3971,3993,3988,4071,4141,4277,4457,4671,4886,4917,5191,5400
Europe,Polish,Population,5798,5910,5642,5680,5906,5645,5944,6312,6912,7431,10968,15202,19645,26189,35499,43083,52473,65086,74629,85785,99566,110860,121422,132378,144001,155902,164918,176074,186755
