Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,Oman,Immigration,11,45,36,56,21,35,37,34,40,36,56,44,28,34,29,29,41,72,95,93,82,80,112,110,123,113,82,84
Asia,Pakistan,Immigration,692,816,717,696,716,751,632,596,547,451,922,970,842,707,800,814,949,918,954,840,1029,1056,1145,1315,1516,1178,1516,2032
Asia,Saudi Arabia,Immigration,114,93,40,74,46,60,77,81,51,94,81,87,159,179,303,416,243,199,344,426,540,578,506,492,711,583,785,964
Asia,Singapore,Immigration,95,132,89,142,190,143,166,158,169,139,176,177,169,220,216,268,293,349,358,417,397,535,572,607,625,443,357,651
Asia,Sri Lanka,Immigration,605,432,553,594,683,720,657,515,386,232,171,190,232,340,336,361,339,285,281,271,196,254,209,256,268,179,269,507
Asia,Syria,Immigration,278,304,288,307,636,943,1102,666,387,235,199,145,167,200,226,332,301,570,1973,8636,20988,28007,16848,5660,5793,6047,11684,17083
Asia,Taiwan,Immigration,106,186,229,289,247,260,332,389,385,345,416,381,404,464,417,459,488,396,461,512,548,696,788,890,1069,624,721,1045
Asia,Thailand,Immigration,397,518,538,678,623,871,959,1043,1017,951,820,830,678,920,865,917,941,853,791,786,799,900,892,996,1127,758,956,949
Asia,Timor Leste,Immigration,,,,,,,,0,2,0,0,2,1,0,0,0,0,1,0,1,0,0,4,1,0,3,2,2
Asia,United Arab Emirates,Immigration,15,237,242,109,54,48,31,40,35,39,45,29,39,53,64,70,61,85,98,158,334,349,308,339,506,479,538,664
Asia,Vietnam,Immigration,206,259,283,332,326,434,602,761,588,498,353,342,317,411,434,448,520,451,459,507,582,801,992,1089,1259,729,875,1024
Asia,South Korea,Immigration,200,258,241,282,340,395,418,389,371,420,431,512,555,580,574,725,872,803,913,1030,1166,1414,1641,1610,1714,727,1036,1382
Europe,Albania,Immigration,34,48,55,112,77,98,116,103,77,72,48,62,62,111,162,111,146,182,204,273,337,392,465,525,564,413,472,614
Europe,Andorra,Immigration,0,1,0,0,0,1,1,0,0,1,2,3,0,1,2,2,4,1,2,4,2,5,12,6,6,6,14,9
Europe,Armenia,Immigration,32,33,13,20,38,100,84,67,38,37,23,16,28,37,57,118,143,83,66,68,53,51,53,76,77,250,275,686
Europe,Azerbaijan,Immigration,14,14,8,29,48,202,167,96,53,15,11,14,10,18,21,35,42,33,43,75,60,83,79,88,179,282,410,861
Europe,Belgium,Immigration,1742,1955,2305,2366,2416,2314,2174,2102,1978,1736,1768,1977,2152,2434,2299,2535,2699,3006,2966,3192,3192,3738,4003,3940,4117,4212,4007,3893
Europe,Bosnia and Herzegovina,Immigration,221,137,54,36,102,128,79,58,44,23,18,21,19,17,24,25,23,36,51,47,55,79,67,115,146,433,401,462
Europe,Bulgaria,Immigration,110,164,229,241,268,302,351,467,504,443,435,475,4865,5201,4308,4256,5314,4948,4452,5047,4702,4809,5745,6650,8646,8544,9547,10891
Europe,Cyprus,Immigration,26,28,25,18,25,30,23,23,18,38,36,32,46,70,71,71,104,103,137,143,169,208,303,327,364,329,540,601
Europe,Denmark,Immigration,274,408,355,422,410,493,390,304,351,347,276,333,308,405,321,393,433,483,482,505,486,653,664,721,676,548,591,609
Europe,Germany,Immigration,5902,5936,5883,5825,5587,5483,5501,5293,5013,5425,5564,6390,7129,8883,8723,9784,9621,8949,8467,8415,8920,9871,10689,11076,11688,10715,10984,10548
Europe,Estonia,Immigration,10,24,21,16,19,28,28,33,46,94,80,64,76,116,137,270,317,273,265,278,199,259,270,294,326,299,375,466
Europe,Faroe Islands,Immigration,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,0,1,1,6,3,5,1
Europe,Federal Republic of Yugoslavia,Immigration,0,7,14,27,228,306,207,78,9,,,,,,,,,,,,,,,,,,,
Europe,Finland,Immigration,306,342,416,511,510,488,420,405,324,349,339,311,392,450,466,532,646,656,588,667,791,991,1081,1117,1148,748,816,976
Europe,France,Immigration,1125,1586,1792,2026,1970,2049,2003,1783,1681,1632,1725,1909,2168,2875,2753,2843,2833,2849,3097,3521,3908,4295,4783,5015,5346,4573,5139,5573
Europe,Georgia,Immigration,51,26,8,12,13,31,25,16,20,14,4,11,12,15,26,68,41,39,32,42,51,72,90,111,145,315,376,663
Europe,Gibraltar,Immigration,3,0,1,3,1,3,3,6,4,2,1,3,4,0,1,3,1,1,1,2,1,2,5,2,8,5,0,1
Europe,Greece,Immigration,423,532,662,681,679,702,771,791,655,682,729,851,869,1257,1196,1682,2471,3098,2717,2379,2560,2941,3414,3650,4290,3321,4803,5918
Europe,Hungary,Immigration,255,403,448,508,422,507,596,494,422,607,611,608,1007,1689,2178,2385,2560,2973,2675,2723,2827,2726,2938,2936,3270,2665,3142,3696
Europe,Ireland,Immigration,422,639,556,512,513,516,506,453,402,350,312,283,364,406,568,607,680,570,609,712,725,915,1016,1209,1517,1253,1650,1721
Europe,Iceland,Immigration,55,50,84,62,73,55,82,88,53,63,43,49,94,114,81,84,89,94,81,101,125,133,125,138,134,109,81,130
Europe,Italy,Immigration,947,1184,1272,1396,1485,1454,1430,1330,1226,1153,1275,1472,1674,2309,2372,2549,2831,3355,3910,4702,5083,5687,6547,7140,7770,6312,7304,8181
Europe,Yugoslavia (old),Immigration,7384,3525,1799,1713,3994,4489,3031,1762,1301,979,853,869,1009,1145,1269,1276,1388,1354,1520,1662,1486,1584,1564,1652,1810,0,0,0
Europe,Channel Islands,Immigration,3,0,0,3,3,3,1,5,0,0,0,0,2,3,11,3,4,2,6,6,9,18,20,24,12,12,6,19
Europe,Kazakhstan,Immigration,3,3,5,2,6,23,31,21,18,9,7,11,14,15,20,34,31,50,52,66,75,103,120,139,215,275,458,718
Europe,Kyrgyzstan,Immigration,0,0,0,0,0,2,17,11,6,11,0,4,5,3,5,5,10,9,14,10,17,18,17,27,41,49,73,196
Europe,Kosovo,Immigration,,,,,,,,,,,,,,1,0,0,0,6,5,7,2,14,3,8,13,134,154,144
Europe,Croatia,Immigration,29,16,9,13,30,23,15,16,5,7,5,4,7,10,9,4,29,22,41,88,134,172,207,282,570,736,1259,1373
Europe,Latvia,Immigration,20,33,45,46,33,48,44,68,51,124,127,110,116,221,501,938,981,1105,867,1040,945,973,1162,1456,1652,1459,1828,1830
Europe,Liechtenstein,Immigration,0,0,1,1,1,0,1,0,1,0,1,1,0,0,3,1,3,1,0,2,3,7,2,2,9,0,3,4
Europe,Lithuania,Immigration,37,66,67,95,61,68,116,125,114,347,308,255,299,390,524,980,1229,1132,1190,1049,1082,1177,1511,1760,1987,1457,1861,2135
Europe,Luxembourg,Immigration,24,30,44,35,31,40,38,33,36,28,38,41,64,64,58,71,86,76,97,133,146,224,277,319,392,294,378,345
Europe,Macedonia,Immigration,3,5,1,0,12,15,16,16,12,7,5,2,4,12,11,21,22,29,30,53,58,102,82,120,,,,
Europe,Malta,Immigration,6,21,19,25,23,25,19,27,23,30,18,26,28,34,32,42,34,46,47,44,47,73,64,75,102,63,112,142
Europe,man,Immigration,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,5,0,0,2,3,3,3,4,1,3,3,3,3
Europe,Moldavia,Immigration,0,5,2,2,9,5,7,9,6,3,7,5,8,11,5,10,31,47,52,88,118,183,310,446,649,1105,1468,2080
Europe,Monaco,Immigration,1,8,2,1,4,4,2,0,3,1,1,4,7,2,1,7,4,9,10,13,10,14,15,17,19,17,14,20
Europe,Montenegro,Immigration,,,,,,,,,,,,0,0,0,0,2,3,4,1,0,0,1,2,1,3,46,44,54
Europe,Norway,Immigration,259,293,366,348,319,349,353,333,308,284,290,274,245,309,332,424,375,348,423,426,436,555,593,560,620,472,488,571
Europe,Ukraine,Immigration,31,44,22,27,33,71,91,99,90,72,59,57,52,67,85,100,132,164,226,298,450,512,637,806,924,1440,1793,99793
Europe,Uzbekistan,Immigration,2,2,5,8,6,17,26,20,13,7,13,13,15,13,7,13,18,13,15,21,19,26,26,42,67,115,143,412
Europe,Austria,Immigration,266,346,361,375,357,333,390,336,338,289,322,383,401,477,424,503,541,491,508,675,610,736,820,889,898,798,835,901
Europe,Poland,Immigration,1274,1548,1513,1714,1212,1900,2231,2387,2260,5210,6781,8400,10272,14149,13288,15064,19181,18675,20659,24055,23179,23213,24000,25603,27215,25725,25269,26434
Europe,Portugal,Immigration,415,486,519,615,854,1028,1224,1205,1197,1002,839,1224,1596,2037,2015,1557,1760,2086,2101,1921,1896,1988,2147,2440,2876,1966,3432,4570
Europe,Republic of North Macedonia,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,133,282,362,402
Europe,Romania,Immigration,307,349,428,486,440,647,733,660,743,729,583,787,2436,2506,2249,2720,2842,2637,2684,4546,4279,5032,7053,8665,10423,9477,11102,12753
Europe,Russia,Immigration,72,92,72,70,128,296,304,214,164,116,106,111,94,114,128,219,316,372,457,539,667,767,953,1135,1438,2287,3015,9199
Europe,Russia (old),Immigration,19,12,6,3,4,4,5,1,4,2,1,2,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Europe,San Marino,Immigration,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,3,3,4,3
